"nb_inscrits,nb_presents,taux_reussite,taux_mentions,cluster"
"13,12,0.6153846153846154,0.625,0"
"1,1,1.0,1.0,0"
"1,1,1.0,1.0,0"
"3,2,0.3333333333333333,1.0,0"
"3,3,1.0,1.0,0"
"2,2,1.0,1.0,0"
"3,3,1.0,0.3333333333333333,0"
"1,1,1.0,0.0,0"
"4,4,1.0,0.25,0"
"38,36,0.7631578947368421,0.3793103448275862,0"
"3,3,0.6666666666666666,0.0,0"
"1,1,1.0,1.0,0"
"1,1,1.0,1.0,0"
"17,17,0.7647058823529411,0.6153846153846154,0"
"1,1,1.0,0.0,0"
"56,55,0.8571428571428571,0.6875,0"
"14,13,0.5,0.42857142857142855,0"
"2,1,0.5,0.0,0"
"1,1,1.0,1.0,0"
"1,1,1.0,1.0,0"
"11,11,0.7272727272727273,0.75,0"
"5,5,0.8,0.5,0"
"1,1,1.0,1.0,0"
"7,7,0.7142857142857143,0.8,0"
"9,9,1.0,0.5555555555555556,0"
"74,70,0.8918918918918919,0.8787878787878788,0"
"4,1,0.0,,0"
"3,2,0.6666666666666666,0.5,0"
"1,1,1.0,1.0,0"
"1,0,0.0,,0"
"1,1,0.0,,0"
"5,2,0.0,,0"
"7,7,1.0,0.7142857142857143,0"
"4,4,0.75,1.0,0"
"4,3,0.75,1.0,0"
"3,3,1.0,0.6666666666666666,0"
"1,1,1.0,0.0,0"
"1,0,0.0,,0"
"2,2,1.0,1.0,0"
"29,26,0.8620689655172413,0.64,0"
"11,9,0.7272727272727273,0.5,0"
"19,19,0.7894736842105263,0.6666666666666666,0"
"5,4,0.4,0.5,0"
"3,3,1.0,0.6666666666666666,0"
"21,21,1.0,0.5714285714285714,0"
"130,90,0.5307692307692308,0.4927536231884058,0"
"1,0,0.0,,0"
"1,1,1.0,0.0,0"
"1,1,1.0,1.0,0"
"1,0,0.0,,0"
"4,3,0.5,0.5,0"
"1,0,0.0,,0"
"4,4,0.75,0.0,0"
