hebergement,restauration,greta,pial,ecole_elementaire,ecole_maternelle,lycee_agricole,lycee_militaire,lycee_des_metiers,etat,type_etablissement,ulis,segpa,appartenance_education_prioritaire,code_nature,libelle_nature,section_sport,section_arts,section_theatre,section_cinema,section_europeenne,section_internationale,code_region,libelle_region,code_academie,code_departement,libelle_departement,statut_public_prive,ministere_tutelle,type_contrat_prive,code_type_contrat_prive,libelle_academie
0.0,0.0,0.0,13607,,,,,0.0,68965,9173,0.0,0.0,61271,340,7663,,,,,,,75,6573,4,24.0,517,12926,65716,3504,10.0,3704
0.0,0.0,0.0,13607,,,,,0.0,68965,9173,0.0,0.0,61271,340,7663,,,,,,,75,6573,4,24.0,517,12926,65716,3504,10.0,3704
0.0,0.0,0.0,13607,,,,,0.0,68965,9173,0.0,0.0,61271,340,7663,,,,,,,75,6573,4,33.0,1426,12926,65716,3504,10.0,3704
0.0,0.0,0.0,13607,,,,,0.0,68965,9173,0.0,0.0,61271,340,7663,,,,,,,75,6573,4,33.0,1426,12926,65716,3504,10.0,3704
0.0,0.0,,13607,1.0,0.0,,,,68965,48730,0.0,,61271,151,36148,,,,,,,75,6573,4,40.0,482,12926,65716,3504,10.0,3704
0.0,0.0,0.0,13607,,,,,0.0,68965,9173,0.0,0.0,61271,340,7663,,,,,,,24,2862,18,45.0,678,12926,65716,3504,10.0,2862
0.0,0.0,,13607,1.0,1.0,,,,68965,48730,0.0,,61271,151,36148,,,,,,,32,6614,9,59.0,2514,12926,65716,3504,10.0,4190
0.0,0.0,0.0,13607,,,,,0.0,68965,9173,0.0,0.0,61271,340,7663,,,,,,,32,6614,9,59.0,2514,12926,65716,3504,10.0,4190
0.0,0.0,0.0,13607,,,,,0.0,68965,5646,0.0,0.0,61271,302,574,,,,,,,32,6614,20,80.0,698,12926,65716,3504,10.0,2424
0.0,0.0,,13607,0.0,1.0,,,,68965,48730,0.0,,61271,101,12298,,,,,,,0,781,41,987.0,312,54080,65716,56083,99.0,312
1.0,1.0,0.0,13607,,,,,0.0,68965,5646,1.0,0.0,61271,334,755,,,,,,,84,8319,10,1.0,665,54080,65716,56083,99.0,3051
0.0,1.0,0.0,13607,,,,,0.0,68965,9173,0.0,0.0,61271,390,1481,,,,,,,84,8319,10,1.0,665,54080,65716,56083,99.0,3051
1.0,1.0,1.0,13607,,,1.0,0.0,0.0,68965,5646,0.0,0.0,61271,307,57,0.0,0.0,0.0,0.0,1.0,0.0,84,8319,10,1.0,665,54080,838,56083,99.0,3051
0.0,1.0,0.0,13607,,,,,0.0,68965,9173,0.0,0.0,61271,390,1481,,,,,,,84,8319,10,1.0,665,54080,65716,56083,99.0,3051
1.0,0.0,1.0,13607,,,1.0,0.0,0.0,68965,5646,0.0,0.0,61271,307,57,1.0,0.0,0.0,0.0,0.0,0.0,84,8319,10,1.0,665,54080,838,56083,99.0,3051
0.0,1.0,0.0,13607,,,,,0.0,68965,9173,0.0,0.0,61271,390,1481,,,,,,,84,8319,10,1.0,665,54080,65716,56083,99.0,3051
0.0,1.0,0.0,13607,,,,,0.0,68965,9173,0.0,0.0,61271,390,1481,,,,,,,84,8319,10,1.0,665,54080,65716,56083,99.0,3051
0.0,1.0,0.0,13607,,,,,0.0,68965,9173,0.0,0.0,61271,390,1481,,,,,,,84,8319,10,1.0,665,54080,65716,56083,99.0,3051
1.0,1.0,0.0,13607,,,1.0,0.0,0.0,68965,5646,0.0,0.0,61271,320,1693,0.0,0.0,0.0,0.0,0.0,0.0,84,8319,10,1.0,665,12926,838,596,60.0,3051
1.0,1.0,0.0,13607,,,1.0,0.0,0.0,68965,5646,0.0,0.0,61271,320,1693,0.0,0.0,0.0,0.0,1.0,0.0,84,8319,10,1.0,665,12926,838,596,60.0,3051
1.0,1.0,0.0,13607,,,1.0,0.0,0.0,68965,5646,0.0,0.0,61271,320,1693,0.0,0.0,0.0,0.0,0.0,0.0,84,8319,10,1.0,665,12926,838,596,60.0,3051
1.0,1.0,0.0,13607,,,,,0.0,68965,374,0.0,0.0,61271,380,371,,,,,,,84,8319,10,1.0,665,12926,838,596,60.0,3051
1.0,0.0,0.0,13607,,,,,0.0,68965,374,0.0,0.0,61271,380,371,,,,,,,84,8319,10,1.0,665,12926,838,596,60.0,3051
